Data,Ora,price,date,datetime
07/01/2018,4,32.0,2018-01-07,2018-01-07T04:00:00.000000+0100
07/01/2018,5,35.0,2018-01-07,2018-01-07T05:00:00.000000+0100
07/01/2018,6,27.1,2018-01-07,2018-01-07T06:00:00.000000+0100
07/01/2018,7,37.31,2018-01-07,2018-01-07T07:00:00.000000+0100
07/01/2018,8,44.04,2018-01-07,2018-01-07T08:00:00.000000+0100
07/01/2018,9,45.0,2018-01-07,2018-01-07T09:00:00.000000+0100
07/01/2018,10,46.55,2018-01-07,2018-01-07T10:00:00.000000+0100
07/01/2018,11,49.72,2018-01-07,2018-01-07T11:00:00.000000+0100
07/01/2018,12,49.41,2018-01-07,2018-01-07T12:00:00.000000+0100
07/01/2018,13,49.41,2018-01-07,2018-01-07T13:00:00.000000+0100
07/01/2018,14,47.6,2018-01-07,2018-01-07T14:00:00.000000+0100
07/01/2018,15,47.53,2018-01-07,2018-01-07T15:00:00.000000+0100
07/01/2018,16,49.41,2018-01-07,2018-01-07T16:00:00.000000+0100
07/01/2018,17,51.68,2018-01-07,2018-01-07T17:00:00.000000+0100
07/01/2018,18,54.84,2018-01-07,2018-01-07T18:00:00.000000+0100
07/01/2018,19,52.76,2018-01-07,2018-01-07T19:00:00.000000+0100
07/01/2018,20,52.76,2018-01-07,2018-01-07T20:00:00.000000+0100
07/01/2018,21,51.0,2018-01-07,2018-01-07T21:00:00.000000+0100
07/01/2018,22,49.41,2018-01-07,2018-01-07T22:00:00.000000+0100
07/01/2018,23,45.0,2018-01-07,2018-01-07T23:00:00.000000+0100
07/01/2018,24,41.5,2018-01-07,2018-01-08T00:00:00.000000+0100
08/01/2018,1,39.36,2018-01-08,2018-01-08T01:00:00.000000+0100
08/01/2018,2,28.7,2018-01-08,2018-01-08T02:00:00.000000+0100
08/01/2018,3,23.69,2018-01-08,2018-01-08T03:00:00.000000+0100
08/01/2018,4,20.99,2018-01-08,2018-01-08T04:00:00.000000+0100
08/01/2018,5,25.0,2018-01-08,2018-01-08T05:00:00.000000+0100
08/01/2018,6,30.88,2018-01-08,2018-01-08T06:00:00.000000+0100
08/01/2018,7,45.94,2018-01-08,2018-01-08T07:00:00.000000+0100
08/01/2018,8,50.0,2018-01-08,2018-01-08T08:00:00.000000+0100
08/01/2018,9,52.25,2018-01-08,2018-01-08T09:00:00.000000+0100
08/01/2018,10,52.25,2018-01-08,2018-01-08T10:00:00.000000+0100
08/01/2018,11,52.25,2018-01-08,2018-01-08T11:00:00.000000+0100
08/01/2018,12,52.3,2018-01-08,2018-01-08T12:00:00.000000+0100
08/01/2018,13,51.86,2018-01-08,2018-01-08T13:00:00.000000+0100
08/01/2018,14,51.86,2018-01-08,2018-01-08T14:00:00.000000+0100
08/01/2018,15,53.0,2018-01-08,2018-01-08T15:00:00.000000+0100
08/01/2018,16,53.0,2018-01-08,2018-01-08T16:00:00.000000+0100
08/01/2018,17,52.94,2018-01-08,2018-01-08T17:00:00.000000+0100
08/01/2018,18,55.0,2018-01-08,2018-01-08T18:00:00.000000+0100
08/01/2018,19,55.0,2018-01-08,2018-01-08T19:00:00.000000+0100
08/01/2018,20,52.93,2018-01-08,2018-01-08T20:00:00.000000+0100
08/01/2018,21,52.25,2018-01-08,2018-01-08T21:00:00.000000+0100
08/01/2018,22,50.62,2018-01-08,2018-01-08T22:00:00.000000+0100
08/01/2018,23,47.0,2018-01-08,2018-01-08T23:00:00.000000+0100
08/01/2018,24,45.19,2018-01-08,2018-01-09T00:00:00.000000+0100
09/01/2018,1,39.35,2018-01-09,2018-01-09T01:00:00.000000+0100
09/01/2018,2,36.4,2018-01-09,2018-01-09T02:00:00.000000+0100
09/01/2018,3,35.9,2018-01-09,2018-01-09T03:00:00.000000+0100
09/01/2018,4,34.0,2018-01-09,2018-01-09T04:00:00.000000+0100
09/01/2018,5,35.35,2018-01-09,2018-01-09T05:00:00.000000+0100
09/01/2018,6,38.9,2018-01-09,2018-01-09T06:00:00.000000+0100
09/01/2018,7,49.0,2018-01-09,2018-01-09T07:00:00.000000+0100
09/01/2018,8,55.9,2018-01-09,2018-01-09T08:00:00.000000+0100
09/01/2018,9,62.36,2018-01-09,2018-01-09T09:00:00.000000+0100
09/01/2018,10,68.75,2018-01-09,2018-01-09T10:00:00.000000+0100
09/01/2018,11,63.0,2018-01-09,2018-01-09T11:00:00.000000+0100
09/01/2018,12,63.3,2018-01-09,2018-01-09T12:00:00.000000+0100
09/01/2018,13,59.39,2018-01-09,2018-01-09T13:00:00.000000+0100
09/01/2018,14,59.39,2018-01-09,2018-01-09T14:00:00.000000+0100
09/01/2018,15,62.36,2018-01-09,2018-01-09T15:00:00.000000+0100
09/01/2018,16,70.3,2018-01-09,2018-01-09T16:00:00.000000+0100
09/01/2018,17,68.81,2018-01-09,2018-01-09T17:00:00.000000+0100
09/01/2018,18,73.3,2018-01-09,2018-01-09T18:00:00.000000+0100
09/01/2018,19,74.43,2018-01-09,2018-01-09T19:00:00.000000+0100
09/01/2018,20,69.0,2018-01-09,2018-01-09T20:00:00.000000+0100
09/01/2018,21,59.39,2018-01-09,2018-01-09T21:00:00.000000+0100
09/01/2018,22,52.48,2018-01-09,2018-01-09T22:00:00.000000+0100
09/01/2018,23,49.0,2018-01-09,2018-01-09T23:00:00.000000+0100
09/01/2018,24,45.98,2018-01-09,2018-01-10T00:00:00.000000+0100
10/01/2018,1,43.32,2018-01-10,2018-01-10T01:00:00.000000+0100
10/01/2018,2,38.0,2018-01-10,2018-01-10T02:00:00.000000+0100
10/01/2018,3,36.42,2018-01-10,2018-01-10T03:00:00.000000+0100
10/01/2018,4,36.0,2018-01-10,2018-01-10T04:00:00.000000+0100
10/01/2018,5,35.9,2018-01-10,2018-01-10T05:00:00.000000+0100
10/01/2018,6,40.43,2018-01-10,2018-01-10T06:00:00.000000+0100
10/01/2018,7,47.01,2018-01-10,2018-01-10T07:00:00.000000+0100
10/01/2018,8,51.79,2018-01-10,2018-01-10T08:00:00.000000+0100
10/01/2018,9,55.86,2018-01-10,2018-01-10T09:00:00.000000+0100
10/01/2018,10,58.58,2018-01-10,2018-01-10T10:00:00.000000+0100
10/01/2018,11,55.86,2018-01-10,2018-01-10T11:00:00.000000+0100
10/01/2018,12,53.79,2018-01-10,2018-01-10T12:00:00.000000+0100
10/01/2018,13,51.86,2018-01-10,2018-01-10T13:00:00.000000+0100
10/01/2018,14,51.75,2018-01-10,2018-01-10T14:00:00.000000+0100
10/01/2018,15,52.33,2018-01-10,2018-01-10T15:00:00.000000+0100
10/01/2018,16,54.75,2018-01-10,2018-01-10T16:00:00.000000+0100
10/01/2018,17,58.44,2018-01-10,2018-01-10T17:00:00.000000+0100
10/01/2018,18,63.99,2018-01-10,2018-01-10T18:00:00.000000+0100
10/01/2018,19,61.34,2018-01-10,2018-01-10T19:00:00.000000+0100
10/01/2018,20,58.58,2018-01-10,2018-01-10T20:00:00.000000+0100
10/01/2018,21,54.99,2018-01-10,2018-01-10T21:00:00.000000+0100
